ID,Type,Instance of,Relations,Data facts
http://n2t.net/ark:/21547/Q2MBIO69.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO69,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO71.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO71,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO71.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO71,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO71.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO71,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO204.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO204,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO204.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO204,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO204.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO204,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO205.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO205,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO205.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO205,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO206.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO206,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO206.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO206,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO206.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO206,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO207.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO207,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO207.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO207,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO207.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO207,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO208.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO208,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO208.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO208,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO208.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO208,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO209.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO209,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO209.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO209,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO209.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO209,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO212.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO212,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO212.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO212,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO212.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO212,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO213.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO213,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO213.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO213,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO213.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO213,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO214.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO214,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO214.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO214,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO214.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO214,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO221.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO221,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO72.1,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO72,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO72.2,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO72,"dwc:preservative ""95% ethanol"""
http://n2t.net/ark:/21547/Q2MBIO72.3,Individual,'specimen','part of' http://n2t.net/ark:/21547/R2MBIO72,"dwc:preservative ""95% ethanol"""
